지역합,POS코드,판매점명,주소,총실적,거래점1,실적1,거래점2,실적2,위도,경도
부산 연제구,P081521,(CVC)온라인_주식회사 유모스트,부산 연제구 거제제2동,585,유모스트,585,,0,35.189313,129.071699
대구 북구,P832270,대구휴대폰성지 방방통신 침산점,대구 북구 침산로 93,452,수인,449,태성,1,35.88522557,128.5897899
부산 연제구,P787146,(CVC)온라인_(주)빅뱅,부산 연제구 거제제1동,350,빅뱅,350,,0,35.19478978,129.0807728
부산 부산진구,P286308,(CVC)온라인_에스엠네트웍스,부산 부산진구 양정제2동,317,에스엠,317,,0,35.17288466,129.0757233
경북 영주시,P325911,휴대폰아울렛_영주,경북 영주시 대학로 57,278,수인,273,뉴에이스,5,36.80836386,128.6185368
대구 북구,P427986,주식회사 퍼스트모바일 서변지점,대구 북구 호국로 211,258,에스엠,231,수인,27,35.92062306,128.5989808
부산 중구,P454508,(셀)휴대폰성지_중앙점,부산 중구 중앙대로 58,224,유모스트,2,수석_경상,222,35.10267572,129.0367322
경북 구미시,P809141,벤츠황상,경북 구미시 검성로 104,206,태성,106,뉴에이스,100,36.11808341,128.4282687
부산 부산진구,P190992,서면휴대폰성지 폰마트,부산 부산진구 전포대로200번길 8,197,에스엠,197,,0,35.15438788,129.0659502
경북 구미시,P908994,휴대폰성지 올영폰 구미진평점,경북 구미시 인동15길 5,185,유모스트,125,수인,60,36.09988894,128.4258021
대구 동구,P890810,깜짝폰,대구 동구 화랑로 51,173,에스엠,75,태성,98,35.87197769,128.6301116
부산 금정구,P371511,휴대폰성지 따르릉통신 부산대점,부산 금정구 금정로60번길 27-8,172,빅뱅,95,에스엠,77,35.22989815,129.0880293
부산 북구,P948959,(셀)휴대폰성지_덕천점,부산 북구 금곡대로8번길 33,156,수석_경상,156,,0,35.21150617,129.0072234
부산 부산진구,P564237,주식회사 에이유커뮤니케이션,부산 부산진구 중앙대로692번길 26,148,빅뱅,148,,0,35.15434034,129.0606477
대구 동구,P946574,헬리오스컴퍼니,대구 동구 반야월북로 222,141,에스엠,137,공감,4,35.87268507,128.7219144
부산 부산진구,P697895,유블리,부산 부산진구 엄광로 176-5,136,에스엠,88,뉴에이스,48,35.14721471,129.0339288
경북 구미시,P269049,구미모바일,경북 구미시 임은길 19,135,유모스트,135,,0,36.08772068,128.3649026
경남 창원시,P443789,(셀)휴대폰성지_성원점,경남 창원시 성산구 동산로 124,131,유모스트,4,수석_충청,127,35.21934207,128.6916137
경남 창원시,P507086,주식회사 코지,경남 창원시 성산구 용지로153번길 12,126,에스엠,92,에이스,34,35.2294075,128.6802081
부산 동래구,P847302,(셀)휴대폰성지_온천점,부산 동래구 중앙대로 1523,120,수석_경상,120,,0,35.22117195,129.0855226
대구 남구,P126305,소리샘,대구 남구 성당로 284,119,유안,67,가본,52,35.85809151,128.5745737
경남 김해시,P379665,(셀)휴대폰성지_율하점,경남 김해시 율하1로 106,112,유모스트,7,수석_경상,105,35.17312974,128.815046
경남 양산시,P787569,양산휴대폰성지,경남 양산시 물금읍 서들로 148,111,에스엠,48,수인,63,35.3118187,129.0066871
경남 김해시,P385334,하니모바일 500,경남 김해시 장유로 228,105,유모스트,52,빅뱅,53,35.2038337,128.8090142
부산 남구,P973987,(셀)휴대폰성지_남구점,부산 남구 분포로 113,105,수석_경상,105,,0,35.12726691,129.1090406
경북 경산시,P988144,레드베스트,경북 경산시 대학로 42,105,수인,60,마라톤,45,35.83388632,128.7272141
경북 안동시,P364255,원텔레콤2호점,경북 안동시 안기천로 45,102,공감,102,,0,36.56153634,128.7162615
부산 동래구,P642945,YES 정보통신,부산 동래구 명륜로 115,101,강산,23,공감,78,35.20400064,129.0825908
부산 강서구,P898504,(셀)휴대폰성지_국제1호점,부산 강서구 명지국제8로 245,101,유모스트,3,수석_경상,98,35.09841606,128.9198342
대구 북구,P387322,휴대폰파는총각 칠곡3지구점,대구 북구 학정로 421,93,수인,7,마라톤,86,35.94237567,128.5630877
부산 중구,P657817,아크로부산남포,부산 중구 구덕로 61,92,에스엠,39,수인,53,35.09771335,129.0290631
부산 연제구,P547543,연산동휴대폰성지 휴대폰할인매장,부산 연제구 중앙대로 1036,91,에스엠,91,,0,35.18083692,129.0778301
경남 양산시,P673521,(셀)휴대폰성지_물금점,경남 양산시 물금읍 새실로 38,91,수석_경상,91,,0,35.31329495,128.9943988
경남 양산시,P103229,(셀)휴대폰성지_석산점,경남 양산시 동면 금오13길 54,89,유모스트,3,수석_경상,86,35.3204451,129.0247275
부산 해운대구,P481689,챔피언텔레콤,부산 해운대구 재반로270번길 33,87,메타,81,강산,6,35.20125134,129.1335539
경남 창원시,P686282,(셀)휴대폰성지_상남점,경남 창원시 성산구 상남로 107,87,수석_충청,87,,0,35.22311174,128.6817807
대구 중구,P546427,휴대폰 파는 총각 달성공원역점,대구 중구 태평로 50,84,유안,2,가본,82,35.87702645,128.5825636
부산 강서구,P758240,(셀)휴대폰성지_국제2호점,부산 강서구 명지국제11로 56,84,유모스트,5,수석_경상,79,35.10398712,128.9245017
부산 수영구,P837441,(셀)휴대폰성지_남천점,부산 수영구 수영로 389,81,유모스트,7,수석_경상,74,35.14231377,129.1056694
부산 남구,P344831,하랑용호기지국,부산 남구 용호로110번길 42,80,공감,80,,0,35.12259341,129.1099318
부산 동래구,P104640,대산,부산 동래구 반송로 339,77,에스엠,21,수인,56,35.2098684,129.1037087
경남 양산시,P119950,휴대폰성지 중부점,경남 양산시 양주5길 10-13,75,에스엠,74,태성,1,35.33994884,129.030299
경북 구미시,P356884,참통신2호점,경북 구미시 옥계북로 27,75,유모스트,70,수인,5,36.13856612,128.4207713
부산 부산진구,P458348,부산폰성지,부산 부산진구 동천로 4,72,에스엠,72,,0,35.14943623,129.0639756
부산 북구,P984687,에스피엘덕천,부산 북구 덕천1길 10,71,수인,31,태성,40,35.20956772,129.0061875
대구 달서구,P163278,부림진천,대구 달서구 월배로 80,70,태성,48,뉴에이스,22,35.81365256,128.5239231
대구 달성군,P385426,엠케이컴퍼니,대구 달성군 다사읍 다사역로 39,69,유모스트,69,,0,35.86558537,128.4574433
경북 구미시,P697740,벤츠비산,경북 구미시 신비로 100,69,태성,33,뉴에이스,36,36.12024013,128.3721318
부산 기장군,P977416,(셀)휴대폰성지_정관2호,부산 기장군 정관읍 정관로 393,69,유모스트,1,수석_경상,68,35.33431256,129.1659003
부산 해운대구,P461708,(셀)휴대폰성지_장산점,부산 해운대구 해운대로 802,68,유모스트,1,수석_경상,67,35.16914006,129.1766401
경남 창원시,P591886,폰CEO통신장천,경남 창원시 진해구 충장로 667,68,에스엠,44,도매직영,24,35.13000676,128.704277
경북 구미시,P354457,폰팔이 김봉준,경북 구미시 구미중앙로17길 16,67,수인,14,뉴에이스,53,36.12897636,128.3348793
대구 수성구,P368357,센터황금,대구시 수성구 들안로28길 27,67,NS컴퍼니,67,,0,35.8472129,128.6237258
대구 북구,P698124,휴대폰싹쓸이,대구 북구 동천로24길 3,67,태성,67,,0,35.94209484,128.5609232
경북 김천시,P972406,후니워니 덕곡,경북 김천시 영남대로 2030,67,수인,67,,0,36.11759726,128.1504544
경북 구미시,P240741,알뜰한 폰박사,경북 구미시 형곡중앙로 65,65,수인,44,뉴에이스,21,36.11229722,128.338653
부산 해운대구,P961708,똘똘텔레콤,부산 해운대구 아랫반송로 52-1,65,유모스트,65,,0,35.22314981,129.1503011
경북 구미시,P602874,쿠팡산동,경북 구미시 산동읍 신당2로 57,64,수인,60,태성,4,36.15583795,128.4286522
부산 금정구,P649337,(셀)휴대폰성지_구서점,부산 금정구 금정로233번길 63,64,유모스트,6,수석_경상,58,35.24742291,129.090227
부산 동래구,P220121,부산-솔컴퍼니(동래점),부산 동래구 명륜로129번길 45,63,수석_경상,63,,0,35.20516448,129.0796874
경남 진주시,P361727,폰앤커피,경남 진주시 진주대로 624,63,유모스트,41,에스엠,22,35.16239972,128.1068073
경북 구미시,P701483,벤츠문성,경북 구미시 고아읍 들성로7길 4,63,태성,28,뉴에이스,35,36.16098497,128.3440007
부산 기장군,P851636,(셀)휴대폰성지_정관점,부산 기장군 정관읍 정관로 578,63,유모스트,1,수석_경상,62,35.32074432,129.1768092
경북 포항시,P376955,하트오천,경북 포항시 남구 오천읍 하원로47번길 15-6,62,유모스트,25,태성,37,35.97454558,129.4025642
대구 달서구,P770795,91통신,대구 달서구 송현동2길 53,62,에스엠,62,,0,35.82901711,128.5472327
울산 중구,P203997,울산휴대폰성지 병영폰통령,울산 중구 구교로 265,61,유모스트,61,,0,35.56795805,129.3429992
경북 경산시,P536338,휴대폰365아울렛 하양점,경북 경산시 하양읍 하양로 103,61,유모스트,17,뉴에이스,44,35.91376095,128.8186291
부산 부산진구,P285137,굿폰,부산 부산진구 중앙번영로 3,60,에스엠,60,,0,35.14504738,129.0597147
경북 칠곡군,P334977,후니워니통신,경북 칠곡군 석적읍 남율로9길 33,59,수인,59,,0,36.06773669,128.4011946
부산 사상구,P385959,영웅텔레콤(괘법동),부산 사상구 사상로 216,59,에스엠,59,,0,35.16437064,128.9838452
대구 달서구,P410600,(셀)휴대폰성지_대구진천점,대구 달서구 진천로 77,59,유모스트,10,수석_충청,49,35.81646348,128.5211196
울산 동구,P131741,통통텔레콤,울산 동구 방어진순환도로 659-1,58,유모스트,58,,0,35.50076643,129.4284358
울산 남구,P730663,(셀)휴대폰성지_신정점,울산 남구 대암로 8,58,수석_경상,58,,0,35.53036729,129.3168412
경북 포항시,P809339,휴대폰성지,경북 포항시 북구 천마로 72,58,유모스트,51,태성,7,36.08198548,129.3858928
부산 강서구,P205862,(셀)휴대폰성지_오션점,부산 강서구 명지오션시티4로 70,57,수석_경상,57,,0,35.08278471,128.9032542
경북 구미시,P306556,도량행복통신,경북 구미시 고아읍 문장로 190,57,수인,40,공감,17,36.15024055,128.330909
부산 부산진구,P538276,라이온,부산 부산진구 동평로420번길 18,57,유모스트,18,뉴에이스,39,35.17276467,129.0697618
부산 동구,P957975,오폰,부산 동구 부산진성공원로 23-5,57,에스엠,52,공감,5,35.13751081,129.0617989
대구 북구,P088839,휴대폰 멀티샵,대구 북구 고성북로 50-2,56,에스엠,16,공감,40,35.88408847,128.5841462
부산 금정구,P733170,주식회사 디엘유통 서동지점,부산 금정구 서동로 151,56,수인,56,,0,35.21494839,129.1032602
경남 김해시,P167954,몽키폰율하(율하점),경남 김해시 율하2로 124,55,유모스트,55,,0,35.16912381,128.8142572
경남 창원시,P363762,EPS중성,경남 창원시 성산구 공단로 69,55,에스엠,12,에이스,43,35.213796,128.633123
대구 북구,P483377,(셀)휴대폰성지_북구점,대구 북구 중앙대로 540,55,유모스트,11,수석_충청,44,35.88032705,128.5970633
경남 양산시,P705060,휴대폰성지 증산점,경남 양산시 물금읍 백호로 74,55,에스엠,36,수인,19,35.31767882,129.0023334
부산 부산진구,P891854,휴대폰성지 말폰,부산 부산진구 가야대로510번길 21,54,빅뱅,54,,0,35.15222581,129.0281969
부산 남구,P387255,이엘(EL)통신,부산 남구 용호로42번길 50-2,53,에스엠,10,강산,43,35.12467795,129.1096582
경북 김천시,P616517,최고김천,경북 김천시 혁신4로 59,53,태성,26,뉴에이스,27,36.12146658,128.1880263
부산 연제구,P620108,(셀)휴대폰성지_사직점,부산 연제구 아시아드대로 39,52,수석_경상,52,,0,35.18999592,129.0661088
경남 김해시,P724175,김해휴대폰성지마징가텔레콤,경남 김해시 율하2로97번길 8,52,에스엠,15,수인,37,35.17104187,128.8127214
부산 남구,P829537,태산,부산 남구 용소로 22-1,52,수인,22,태성,30,35.13531275,129.1005897
부산 북구,P892480,휴대폰성지(덕천동),부산 북구 만덕대로 32,52,빅뱅,10,에스엠,42,35.21066556,129.0087223
경남 양산시,P923705,위너스텔레콤,경남 양산시 서창로 191,52,유모스트,52,,0,35.41626083,129.1725337
울산 남구,P098814,주식회사 다희,울산 남구 남중로 107,51,메타,23,에이스,28,35.54393779,129.3479464
부산 동래구,P124474,휴대폰성지킹_동래점,부산 동래구 온천천로 75,51,빅뱅,50,수인,1,35.21246954,129.0802868
부산 부산진구,P134117,마징가11호,부산 부산진구 새싹로 157-1,51,에스엠,33,수인,18,35.1702515,129.0499347
부산 남구,P403450,시세파괴폰 대연본점,부산 남구 수영로 264,51,유모스트,4,뉴에이스,47,35.13536447,129.0955635
부산 사하구,P601464,핸드폰성지홈서비스 아정당 하단점,부산 사하구 낙동남로 1424,51,유모스트,51,,0,35.10587769,128.9674168
울산 북구,P125227,엑스라지폰,울산 북구 송정12길 3,50,에스엠,27,에이스,23,35.60019365,129.3606979
부산 기장군,P356726,비엠(BM)컴퍼니 이진,부산 기장군 정관읍 정관로 545,50,에스엠,50,,0,35.32230087,129.1748441
경남 거제시,P366948,메킷레인,경남 거제시 중곡로 3,50,에스엠,50,,0,34.89303358,128.6302802
울산 북구,P507911,(셀)휴대폰성지_삼산점,울산 북구 화산중앙로 94-3,50,유모스트,1,수석_경상,49,35.59342637,129.3666845
경남 양산시,P792926,(셀)휴대폰성지_중부점,경남 양산시 양산역6길 3,50,수석_경상,50,,0,35.33779647,129.0265997
대구 달서구,P798628,주식회사 스마트컴퍼니,대구 달서구 조암남로16길 19,50,에스엠,48,유안,2,35.82211472,128.5220247
울산 북구,P906489,여기다폰(화봉점),울산 북구 화봉로 75,50,강산,23,태성,27,35.58859131,129.3673337
부산 연제구,P495823,휴대폰성지 최싸폰 연산점,부산 연제구 반송로 80,49,에스엠,49,,0,35.19061647,129.0879151
부산 연제구,P565504,유진유통 거제3,부산 연제구 거제천로 82,49,강산,47,수인,2,35.18144166,129.0732953
부산 부산진구,P608460,부산휴대폰성지 폰(갑) 알람폰 개금점,부산 부산진구 가야대로443번길 25-6,49,뉴에이스,2,공감,47,35.15446464,129.0207538
